car,dog,count
Volkswagen Tiguan,Poodle,1
Volkswagen Tiguan,Chihuahua,4
Hyundai Genesis,Pitbull,3
Hyundai Genesis,Chihuahua,2
Hyundai Genesis,Italian Greyhound,1
Hyundai Genesis,Alaskan Malamute,2
Hyundai Genesis,Siberian Husky,2
Hyundai Genesis,Poodle,1
Hyundai Genesis,Cockapoo,1
Hyundai Genesis,Pug,2
Hyundai Genesis,Bloodhound,1
Toyota Mirai,Rescue Dog,2
Toyota Mirai,Pug,1
Toyota Mirai,Samoyed,1
Toyota Mirai,Newfoundland,1
Toyota Mirai,Catahoula Leopard Dog,1
Toyota Mirai,Beagle,1
BMW i3,Dachshund,1
Buick LaCrosse,Pug,1
Buick LaCrosse,Beagle,1
Buick LaCrosse,Dachshund,2
Buick LaCrosse,American Bulldog,2
Buick LaCrosse,Great Pyrenees,1
Buick LaCrosse,Newfoundland,9
Buick LaCrosse,Siberian Husky,4
Buick LaCrosse,Pitbull,20
Buick LaCrosse,Great Dane,4
Lexus RC,Poodle,1
Lexus RC,Pitbull,1
Lexus RC,Rescue Dog,1
Mitsubishi Mirage,Italian Greyhound,1
Alfa Romeo Giulia,Pitbull,15
Alfa Romeo Giulia,Rhodesian Ridgeback,1
Alfa Romeo Giulia,American Bulldog,2
Alfa Romeo Giulia,Pug,1
Alfa Romeo Giulia,Bullmastiff,1
Alfa Romeo Giulia,Labrador Retriever,1
Alfa Romeo Giulia,Chihuahua,1
Alfa Romeo Giulia,Siberian Husky,2
Alfa Romeo Giulia,Shih Tzu,1
Kia Sportage,Siberian Husky,1
Kia Sportage,Pug,2
Kia Sportage,Newfoundland,5
Kia Sportage,Labrador Retriever,4
Kia Sportage,Golden Retriever,1
Chevrolet Traverse,Chihuahua,21
Chevrolet Traverse,Giant Schnauzer,1
Chevrolet Traverse,Siberian Husky,1
Chevrolet Traverse,American Bulldog,2
Ford Explorer,Pitbull,2
Ford Explorer,Italian Greyhound,1
Ford Explorer,Newfoundland,13
Ford Explorer,Maltese,1
Ford Explorer,Siberian Husky,6
Ford Explorer,Welsh Corgi,2
Nissan Altima,Bloodhound,1
Nissan Altima,Beagle,1
Chevrolet Impala,Poodle,2
Chevrolet Impala,American Bulldog,4
Chevrolet Impala,Pitbull,7
Chevrolet Impala,Pug,10
Chevrolet Impala,Chihuahua,4
Chevrolet Impala,Siberian Husky,2
Chevrolet Impala,Jack Russell Terrier,1
Chevrolet Impala,Labrador Retriever,1
Chevrolet Impala,Rottweiler,1
Tesla Model 3,Pug,68
Tesla Model 3,German Shepherd Dog,3
Tesla Model 3,Rescue Dog,1
Tesla Model 3,Welsh Corgi,1
Tesla Model 3,American Bulldog,1
Tesla Model 3,Samoyed,1
Kia Stinger,Bloodhound,1
Kia Stinger,Siberian Husky,1
Kia Stinger,Maltese,1
Kia Stinger,Welsh Corgi,1
Mercedes-Benz S-Class,German Shepherd Dog,2
Mercedes-Benz S-Class,Pug,1
Ford Expedition,Rottweiler,1
Ford Expedition,Labrador Retriever,1
Ford Expedition,Great Dane,1
Ford Expedition,Bullmastiff,1
Ford Expedition,Rescue Dog,2
Ford Expedition,Alaskan Malamute,41
BMW X1,American Bulldog,1
Honda Odyssey,Italian Greyhound,4
Honda Odyssey,Border Collie,2
Honda Odyssey,Bullmastiff,1
Honda Odyssey,Chihuahua,2
Honda Odyssey,Pitbull,2
Honda Odyssey,Pointer,1
Subaru Outback,Pug,3
Subaru Outback,American Bulldog,1
Subaru Outback,Maltese,1
Subaru Outback,Dachshund,1
Subaru Outback,Pitbull,1
Chevrolet Spark,Dachshund,1
Chevrolet Spark,Akita,2
Chevrolet Spark,Welsh Corgi,1
Chevrolet Spark,Chihuahua,1
Chevrolet Spark,American Bulldog,4
Chevrolet Spark,Rescue Dog,2
Chevrolet Spark,German Shepherd Dog,1
Chevrolet Spark,Border Collie,1
Volkswagen Touareg,Dachshund,3
Infiniti Q70,Pug,27
Hyundai Santa Fe,Chihuahua,1
Hyundai Santa Fe,Labradoodle,2
Hyundai Santa Fe,Pug,1
Hyundai Santa Fe,Bloodhound,1
Chevrolet Colorado,Poodle,2
Chevrolet Colorado,German Shepherd Dog,1
Chevrolet Colorado,Newfoundland,1
Chevrolet Colorado,Golden Retriever,2
Chevrolet Colorado,Chinese Shar-Pei,1
Chevrolet Colorado,Maltese,1
Chevrolet Colorado,Pitbull,2
Chevrolet Colorado,Chihuahua,1
Chevrolet Colorado,Italian Greyhound,2
Chevrolet Colorado,Rescue Dog,1
Chevrolet Colorado,Siberian Husky,1
Chevrolet Colorado,Rottweiler,1
Ford Focus,Golden Retriever,1
Ford Focus,Pomeranian,44
Ford Focus,Labrador Retriever,27
Ford Focus,Pug,6
Ford Focus,Chihuahua,2
Ford Focus,Rottweiler,1
Ford Focus,Bloodhound,1
Ford Focus,Siberian Husky,2
Ford Focus,Rescue Dog,1
GMC Yukon XL,Jack Russell Terrier,1
GMC Yukon XL,Siberian Husky,1
Jeep Cherokee,Poodle,2
Jeep Cherokee,Siberian Husky,1
Jeep Cherokee,Rottweiler,1
Jeep Cherokee,Maltese,1
Jeep Cherokee,Chihuahua,1
Jeep Cherokee,Dachshund,1
Jeep Cherokee,Pointer,1
Jeep Cherokee,American Bulldog,3
Jeep Cherokee,Mutt,1
Jeep Cherokee,Shih Tzu,1
Jeep Cherokee,Boston Terrier,2
Ford Flex,Bloodhound,2
BMW 3-Series,Labrador Retriever,1
BMW 3-Series,Akita,1
BMW 3-Series,Pug,3
